,,"COSMIC GROUP - GUNPLA",,,
,,,,,
"SITUAZIONE AGGIORNATA AL 25/07/2011",,,,,
,,,,,
"CODICE COSMIC ","IMMAGINE","ARTICOLO","JAN CODE","DATA PRESUNTA DI ARRIVO","PREZZO SUGGERITO AL PUBBLICO"
,,,,,
"19861","Clicca qui"," UCHG 6 TYPE 61TANK SEMOVENTE SQUAD","0157471","DISPONIBILE","€ 108,00"
"19736","Clicca qui"," UCHG 1/35 CORE・FIGHTER","0167077","DISPONIBILE","€ 54,00"
"19347","Clicca qui"," ACTION BASE  (BLACK)","0148215","DISPONIBILE","€ 6,60"
"18928","Clicca qui"," ACTION BASE2 BLACK","0149845","DISPONIBILE","€ 5,40"
,,,,,
"25012","Clicca qui","1/100 GUNDAM DEATHSCYTHE","0047684 ","AGOSTO 2011","€ 18,00"
"22673","Clicca qui","1/144 LAUNCHER STRIKE GUNDAM","0116412 ","AGOSTO 2011","€ 6,00"
"22667","Clicca qui","1/144 FREEDOM GUNDAM","0117983 ","AGOSTO 2011","€ 4,80"
"22619","Clicca qui","1/144 JUSTICE GUNDAM","0119246 ","AGOSTO 2011","€ 6,00"
"19716","Clicca qui","1/144 HGUC RX-78 GP01 ZEPHYRANTES","0077165 ","AGOSTO 2011","€ 14,40"
"86312","Clicca qui","1/144 HGUC GM CANNON II","170384 ","AGOSTO 2011","€ 16,80"
"17827","Clicca qui","1/144 FG GUNDAM","0072385 ","AGOSTO 2011","€ 3,60"
"17798","Clicca qui","1/144 FG CHAR'S ZAKU","0071694 ","AGOSTO 2011","€ 3,60"
"17748","Clicca qui","1/144 FG MS-06F/J ZAKU","0076159 ","AGOSTO 2011","€ 3,60"
"23321","Clicca qui","MG 1/100 RX-77-2 GUNCANNON","0107017 ","AGOSTO 2011","€ 36,00"
"1779","Clicca qui","MG 1/100 GUNDAM DEATHSCYTHE EW","0164564 ","AGOSTO 2011","€ 45,60"
"1825","Clicca qui","MG 1/100 DEATHCSYTHE HELL EW VER","167078 ","AGOSTO 2011","€ 54,00"
"1551","Clicca qui","MG 1/100 XXXG-01S SHENLONG GUNDAM EW VER","0167089 ","AGOSTO 2011","€ 45,60"
"1302","Clicca qui","MG 1/100 XXXG-01W WING GUNDAM EW VER","0169489 ","AGOSTO 2011","€ 42,00"
"6588","Clicca qui","MG 1/100 GUNDAM EPYON EW VER","0170379 ","AGOSTO 2011","€ 57,60"
"15781","Clicca qui","1/48 MS-06S ZAKU II","0165663 ","AGOSTO 2011","€ 93,60"
"15771","Clicca qui","1/48 ZAKU II","0169480 ","AGOSTO 2011","€ 93,60"
"9076","Clicca qui","BB366 WING GUNDAM EW VER","0170381 ","AGOSTO 2011","€ 9,80"
26096,"Clicca qui"," 1/144  WING GUNDAM","0047166","AGOSTO 2011","€ 6,00"
25993,"Clicca qui"," 1/144  SHENLONG GUNDAM","0047223","AGOSTO 2011","€ 6,00"
25914,"Clicca qui"," 1/144  GUNDAM DEATHSCYTHE","0047224","AGOSTO 2011","€ 6,00"
25714,"Clicca qui"," 1/144  WING GUNDAM-0 ","0048142","AGOSTO 2011","€ 8,40"
25713,"Clicca qui"," 1/144  GUNDAM EPYON","0048289","AGOSTO 2011","€ 6,00"
25617,"Clicca qui"," 1/144 GUNDAM DEATHSCYTHE H","0049407","AGOSTO 2011","€ 8,40"
25469,"Clicca qui"," 1/100  WING GUNDAM","0047165","AGOSTO 2011","€ 18,00"
25375,"Clicca qui"," 1/100  WING GUNDAM-0","0048288","AGOSTO 2011","€ 18,00"
25306,"Clicca qui"," 1/100  GUNDAM EPYON","0048815","AGOSTO 2011","€ 18,00"
25147,"Clicca qui"," 1/100 GUNDAM DEATHSCYTHE H","0049513","AGOSTO 2011","€ 21,60"
24787,"Clicca qui"," 1/60  WING GUNDAM-0","0048287","AGOSTO 2011","€ 42,00"
24784,"Clicca qui"," 1/144 WING GUNDAM ZERO CUSTOM ","0061209","AGOSTO 2011","€ 12,00"
23796,"Clicca qui"," 1/100 MOBIL SUIT VS NATAKU","0056316","AGOSTO 2011","€ 21,60"
23772,"Clicca qui"," 1/100 WING GUNDAM ZERO CUSTOM ","0057137","AGOSTO 2011","€ 24,00"
23674,"Clicca qui"," 1/100 GUNDAM HEAVYARMS CUSTOM ","0059767","AGOSTO 2011","€ 24,00"
23651,"Clicca qui"," 1/100 DEATHSCYTHE HELL CUSTOM","0059769","AGOSTO 2011","€ 24,00"
23644,"Clicca qui"," 1/100 GUNDAM SANDROCK CUSTOM ","0060626","AGOSTO 2011","€ 24,00"
23628,"Clicca qui"," 1/100 SERPENT","0061216","AGOSTO 2011","€ 24,00"
22759,"Clicca qui"," 1/144 GUNDAM ASTRAY(RED)","0113404","AGOSTO 2011","€ 3,60"
22752,"Clicca qui"," 1/144 GUNDAM ASTRAY(BLUE FLAME)","0114202","AGOSTO 2011","€ 3,60"
22243,"Clicca qui"," 1/144 HG AILE STRIKE GUNDAM","0114204","AGOSTO 2011","€ 14,40"
21447,"Clicca qui"," 1/144 HG FREEDOM GUNDAM","0119249","AGOSTO 2011","€ 18,00"
21414,"Clicca qui"," 1/144 HG JUSTICE GUNDAM","0119258","AGOSTO 2011","€ 18,00"
21369,"Clicca qui"," 1/144 HG GUNDAM ASTRAY(RED FRAME)","0122715","AGOSTO 2011","€ 14,40"
21226,"Clicca qui"," 1/144 HG GUNDAM ASTRAY(BLUE FRAME)","0124120","AGOSTO 2011","€ 14,40"
20937,"Clicca qui"," 1/144 HG STRIKE ROUGE + IWSP","0124918","AGOSTO 2011","€ 18,00"
20899,"Clicca qui"," HG FORCE IMPULSE GUNDAM","0131414","AGOSTO 2011","€ 18,00"
20587,"Clicca qui"," HG SWORD IMPULSE GUNDAM","0132159","AGOSTO 2011","€ 18,00"
20162,"Clicca qui"," HG STRIKE FREEDOM GUNDAM","0134113","AGOSTO 2011","€ 19,20"
20131,"Clicca qui"," HG LEGEND GUNDAM","0138414","AGOSTO 2011","€ 18,00"
20037,"Clicca qui"," HG DESTINY GUNDAM","0139091","AGOSTO 2011","€ 19,20"
20029,"Clicca qui"," HG SHIRANUI AKATSUKI GUNDAM","0141041","AGOSTO 2011","€ 28,80"
19975,"Clicca qui"," HG OWASHI AKATSUKI GUNDAM","0141910","AGOSTO 2011","€ 28,80"
19964,"Clicca qui"," HG STRIKE NOIR GUNDAM","0143424","AGOSTO 2011","€ 18,00"
19887,"Clicca qui"," HG VERDE BUSTER GUNDAM","0145074","AGOSTO 2011","€ 19,20"
