	"GUNDAM OO SERIES"	
		
		
"GAOE"	"NAME"	"JAN CODE"
"21563"	" MG G ARMOR REAL TYPE COLOR Ver."	"0158763"
"21143"	" MG GUNDAM EXIA "	"0159452"
"21090"	" MG GUNTANK"	"0160242"
"20797"	" MG 1/100 V GUNDAM Ver.Ka"	"0161539"
"20702"	" MG 1/100 GN-X"	"0161417"
"20701"	" MG 1/100 GUNDAM EXIA (TRANS-AM  MODE)"	"0161570"
"20345"	" MG 1/100 UNICORN GUNDAM SCREEN IMAGE "	"0162053"
"20277"	" MG 1/100 WING GUNDAM"	"0162352"
"19458"	" MG 1/100 MUSHA GUNDAM MK-II"	"0163119"
"20165"	" MG 1/100 RE-ZEL"	"0165298"
"19514"	" MG 1/100 OO QAN[T]"	"0165654"
"20069"	" MG SHINMUSHA GUNDAM ""SENGOKU NO JIN"""	"0158211"
"19594"	" MG 1/100 UNICORN GUNDAM SCREEN IMAGE SPECIAL"	"0162052"
	"PG"	
"20006"	" 1/60 PG STRIKE FREEDOM GUNDAM"	"0165506"
	"RG"	
"716"	" RG 1/144 RX-78-2 GUNDAM"	"0163280"
"718"	" RG MS-06S ZAKU Ⅱ"	"0165511"
"719"	" RG 1/144 AILE STRIKE GUNDAM"	"0169492"
	"UCHG"	
"19976"	" UCHG ZEON CYCLOPS TEAM SET"	"0151919"
"19861"	" UCHG 6 TYPE 61TANK SEMOVENTE SQUAD"	"0157471"
"19736"	" UCHG 1/35 CORE・FIGHTER"	"0167077"
		
"19347"	" ACTION BASE  (BLACK)"	"0148215"
"19161"	" ACTION BASE  (GRAY)"	"0148216"
"19141"	" ACTION BASE  (WHITE)"	"0148217"
"19079"	" ACTION BASE 1 CLEAR"	"0152159"
"19077"	" ACTION BASE 1 SPARKLE CLEAR GREEN"	"0156776"
"18928"	" ACTION BASE2 BLACK"	"0149845"
"18875"	" ACTION BASE2 GRAY"	"0150540"
"18725"	" ACTION BASE2 AQUA BLUE"	"0150659"
"18664"	" ACTION BASE2 CLEAR SPARKLE GREEN"	"0153708"
"18661"	" ACTION BASE 02 SPARKLE RED"	"0154456"
	" 001 SHIN RYUBI GUNDAM"	"0162060"
	" 002 SHIN CHOUHI GUNDAM"	"0162061"
	" 003 SHIN KAN-U GUNDAM"	"0162062"
	" 004 SHIN KOSHIN GYAN"	"0162059"
	" 005 SHIN SOUSOU GUNDAM"	"0162360"
	" 006 SHIN SONKEN GUNDAM"	"0162356"
	" 007 SHIN SOLDIERS SET"	"0162358"
	" 008 SHIN HAKUGIN RYUSEIBA"	"0162359"
	" 009 SHIN KO SON SAN EZ-8"	"0162355"
	" 010 SHIN SANGOKUDEN SANMI ITTAI SET"	"0162357"
	" 011 SHIN TOTAKU ZAKU"	"0162364"
	" 012 SHIN RYOFU TALLGEESE/SEKITOBA/TENGYOKUGAI SHINBU"	"0162365"
	" 013 SHIN KAKOUTON GIROS"	"0162366"
	" 014 SHIN KAKOUEN DALAS"	"0162367"
	" 015 SHIN SHIBAI SAZABI "	"0162371"
	" 016 SHIN SONSHOKO GERBERA"	"0162372"
	" 017 SHIN SONSAKU PHYSALIS GUNDAM"	"0162373"
	" 018 SHIN RYUSOU RYUBI GUNDAM"	"0164251"
	" 019 SHIN RAISOU CHOUHI GUNDAM"	"0164247"
	" 020 SHIN OUGASOU KAN-U GUNDAM"	"0164248"
	" 021 SHIN GOUKA RYUSOU RYUBI GUNDAM"	"0164579"
	" 022 SHIN GURENSOU SOUSOU GUNDAM・ZETSUEI"	"0164261"
	" 023 SHIN MOUKOSOU SONKEN GUNDAM"	"0164262"
	" 024 SHIN ENJYUTSU ZSSA"	"0164263"
	" 025 SHIN TAISHIJI DOM"	"0164264"
	" 026 SHIN JOKO SERPENT"	"0164266"
	" 027 SHIN SHUSO DOVEN WOLF"	"0164567"
	" 028 SHIN RIKUSON ZETA PLUS"	"0164566"
	" 029 SHIN MOUKOSOU SONKEN GUNDAM・TENGYOKUGAI DOUKO"	"0164568"
	" 030 SHIN ENSHO BOWOO"	"0165301"
	" 031 SHIN TEN-I ASSHIMAR ・KAKU ASHTARON・SIEGE WEAPON SET"	"0165302"
	" 032 SHIN SHUYU HYAKUSHIKI"	"0165303"
	" 033 SHIN CHOUUN GUNDAM・HIEISEN HORSE"	"0165304"
	" 034 SHIN CHOURYOU GELGOOG"	"0162368"
	" 035 RYOMOU DIJE & KANNEI KAMPFER MARINES"	"0165505"
	" 036 SHIN SANGOKUDEN SANMIITTAI SET(RYUTEI SWORD AWAKE MODE)"	"0165501"
	" 037 SHIN KAKUKA VIRSAGO"	"0165504"
	" 038 SHIN GURENSOU SOUSOU TENGYOKUGAI ENHO"	"0165658"
	" 039 SHIN KOMEI Re-GZ"	"0165657"
	" 040 SHIN KANPEI GUNDAM"	"0165656"
	" 041 SHIN CHOKO ZAKU Ⅲ"	"0165655"
	" 042 SHIN SYORETSUTEI RYUSOU RYUBI GUNDAM  RYUKIHO TEKIRO"	"0166785"
	" 043 SHIN KOGAI GOUF"	"0167072"
	"  044 SHIN GURENSOU SOSO GUNDAM  VS MOUKOSOU SONKEN GUNDAM 【BATTLE OF RED CLIFF SET】"	"0167076"
	" 045 SHIN GOUKA SHORETSUTEI RYUSOU RYUBI GUNDAM"	"0167084"
	" 046 SHIN SHORETSUTEI RYUSOU RYUBI GUNDAM・TENGYOKUGAI SORYU"	"0167090"
	" BB363 CHO-HO GUNDAM（ENGLISH VER.）"	"0162063-5"
"1779"	" MG 1/100 GUNDAM DEATHSCYTHE EW"	"0164564"
"1825"	" MG 1/100 DEATHSCYTHE HELL EW Ver."	"0167078"
"1551"	" MG 1/100　XXXG-01S SHENLONG GUNDAM EW VER."	"0167089"
"1302"	" MG 1/100  XXXG-01W WING GUNDAM EW VER."	"0169489"
	"GUNDAM REVIVAL SET"	"0170322-3"
4	" 1/144 GUNDAM"	"0008659"
4	" 1/144 CHAR'S ZAKU"	"0008652"
2	" 1/144 ZAKUⅡ"	"0008653"
2	" 1/144 GOUF"	"0008654"
4	" 1/144 CHAR'S Z'GOK"	"0008657"
2	" 1/144 GUNCANNON"	"0008656"
2	" 1/144 GM"	"0008658"
2	" 1/144 GYAN"	"0008660"
2	" 1/220  GUNDAM Mk-Ⅱ"	"0005189"
2	" 1/220  RICK-DIAS"	"0005190"
4	" 1/220  Z   GUNDAM"	"0005191"
2	" 1/220  MARASAI"	"0005337"
2	" 1/220  HYAKU-SHIKI"	"0005338"
2	" 1/220  ASSHIMAR"	"0004973"
4	" 1/144  ZZ-GUNDAM"	"0006289"
2	" 1/144  GAZA-D"	"0006147"
2	" 1/144  R-JARJA"	"0006297"
2	" 1/144  BAW"	"0006773"
2	" 1/144  GA-ZOWMN"	"0006611"
2	" 1/144  DESERT-ZAKU"	"0006818"
2	" 1/144  ZAKU-MARINER"	"0006829"
2	" 1/144  REGELGU"	"0006948"
2	" 1/144  AMX-117R GAZ-R&117L GAZ-L"	"0006949"
2	" 1/144  GALUSS-J"	"0006148"
2	" 1/144  ZSSA"	"0006288"
2	" 1/144  DOWAJJI"	"0006817"
2	" 1/144  JEGAN"	"0023159"
2	" 1/144  GEARA-DOGA"	"0023036"
2	" 1/144  Re-GZ"	"0010421"
2	" 1/144  JAGD-DOGA(GYUNEI GUSS)"	"0020844"
2	" 1/144  JAGD-DOGA(QUESS PARAYA)"	"0023464"
2	" 1/144  SAZABI"	"0020869"
4	"1/144 　Nu-GUNDAM (FIN FANNEL TYPE)"	"0024391"
