,,,,,,
,,,,"NOME NEGOZIO",,
,,,,,,
"CODICE","IMMAGINE","QUANTITA'","JAN CODE","DESCRIZIONE ","PREZZO ","PREZZO"
"COSMIC",,"ORDINE",,,"REGOLARE","SUGGERITO"
,,,,"OO",,
24896,"Clicca qui",,"0122241"," 1/144 HGUC ZETA GUNDAM","€ 9,60","€ 19,20"
19215,"Clicca qui",,"0126793"," 1/144 HGUC HYAKUSHIKI+ MEGA-BAZOOKA ","€ 10,80","€ 21,60"
18542,"Clicca qui",,"0129453"," 1/144 HGUC G ARMOR","€ 16,80","€ 33,60"
19093,"Clicca qui",,"0131420"," 1/144 HGUC GIM COMMAND WHIGHT","€ 4,80","€ 9,60"
36691,"Clicca qui",,"0143417"," 1/144 HGUC ZAKUI","€ 6,00","€ 12,00"
19016,"Clicca qui",,"0145069"," 1/144 HGUC GUNDAM GP-02A","€ 12,00","€ 24,00"
24797,"Clicca qui",,"0145073"," 1/144 HGUC RGM-79 POWERED GM","€ 7,20","€ 14,40"
36678,"Clicca qui",,"0145382"," 1/144 HGUC ZAKUI BLACK TRI STARS","€ 6,00","€ 12,00"
36328,"Clicca qui",,"0148339"," 1/144 HGUC1/144 ORX-005 GAPLANT?TR-5 HRAIROO","€ 14,40","€ 28,80"
36340,"Clicca qui",,"0148831"," 1/144 HGUC GM QUEL","€ 7,20","€ 14,40"
36303,"Clicca qui",,"0148830"," 1/144 HGUC GP02A MLRS CUSTOM","€ 13,20","€ 26,40"
17293,"Clicca qui",,"0148995"," 1/144 HGUC GELGOOG CANON","€ 9,60","€ 19,20"
24648,"Clicca qui",,"0149604"," 1/144 HGUC ACGUY","€ 8,40","€ 16,80"
35797,"Clicca qui",,"0149833"," 1/144 HGUC RX-79G","€ 9,00","€ 18,00"
35780,"Clicca qui",,"0150529"," 1/144 HGUC ZOCK","€ 15,00","€ 30,00"
24634,"Clicca qui",,"0153143"," 1/144 HGUC NU GUNDAM","€ 15,00","€ 30,00"
24610,"Clicca qui",,"0154499"," 1/144 HGUC SAZABI","€ 16,80","€ 33,60"
34934,"Clicca qui",,"0155523"," 1/144 HGUC KAMPFER","€ 10,80","€ 21,60"
35767,"Clicca qui",,"0158436"," 1/144 HGUC NU GUNDAM (HEAVY WEAPON SYSTEM)","€ 16,80","€ 33,60"
24603,"Clicca qui",,"0158762"," 1/144 HGUC HI-NU GUNDAM","€ 13,20","€ 26,40"
24556,"Clicca qui",,"0159935"," 1/144 HGUC JEGAN","€ 9,00","€ 18,00"
24299,"Clicca qui",,"0161011"," 1/144 HGUC RX-0 UNICORN GUNDAM(DESTROY MODE)","€ 10,80","€ 21,60"
24288,"Clicca qui",,"0161012"," 1/144 HGUC RX-0 UNICORN GUNDAM(UNICORN MODE)","€ 9,00","€ 18,00"
